,행정구역,연도,명
426,군포시,2017,3396289
427,군포시,2018,3344309
428,군포시,2019,3303028
429,군포시,2020,3304909
430,군포시,2021,3246200
431,군포시,2022,802408
432,권선구,2011,3716917
433,권선구,2012,3966300
434,권선구,2013,3983976
435,권선구,2014,4032251
436,권선구,2015,4139590
437,권선구,2016,4262525
438,권선구,2017,4333938
439,권선구,2018,4493161
440,권선구,2019,4492856
441,권선구,2020,4443688
442,권선구,2021,4387413
443,권선구,2022,1104999
444,금산군,2011,674752
445,금산군,2012,669682
446,금산군,2013,665593
447,금산군,2014,662988
448,금산군,2015,659193
449,금산군,2016,657085
450,금산군,2017,649075
451,금산군,2018,642251
452,금산군,2019,632599
453,금산군,2020,620417
454,금산군,2021,610088
455,금산군,2022,150976
456,금정구,2011,3067201
457,금정구,2012,3056118
458,금정구,2013,3060960
459,금정구,2014,3019190
460,금정구,2015,2974176
461,금정구,2016,2940628
462,금정구,2017,2925280
463,금정구,2018,2927726
464,금정구,2019,2893282
465,금정구,2020,2827281
466,금정구,2021,2757388
467,금정구,2022,678512
468,금천구,2011,2924053
469,금천구,2012,2924794
470,금천구,2013,2907326
471,금천구,2014,2876840
472,금천구,2015,2854914
473,금천구,2016,2821656
474,금천구,2017,2831716
475,금천구,2018,2803501
476,금천구,2019,2804164
477,금천구,2020,2787565
478,금천구,2021,2766856
479,금천구,2022,692835
480,기장군,2011,1262967
481,기장군,2012,1332465
482,기장군,2013,1474903
483,기장군,2014,1675225
484,기장군,2015,1797393
485,기장군,2016,1873386
486,기장군,2017,1916980
487,기장군,2018,1961104
488,기장군,2019,1979502
489,기장군,2020,2044091
490,기장군,2021,2118462
491,기장군,2022,530226
492,기흥구,2011,4371113
493,기흥구,2012,4461728
494,기흥구,2013,4623186
495,기흥구,2014,4769847
496,기흥구,2015,4878042
497,기흥구,2016,4951647
498,기흥구,2017,5023007
499,기흥구,2018,5071112
500,기흥구,2019,5195527
501,기흥구,2020,5280224
502,기흥구,2021,5291784
503,기흥구,2022,1323418
504,김제시,2011,1122290
505,김제시,2012,1111211
506,김제시,2013,1100077
507,김제시,2014,1088149
508,김제시,2015,1072012
509,김제시,2016,1058935
510,김제시,2017,1048024
511,김제시,2018,1033553
512,김제시,2019,1014200
513,김제시,2020,998081
514,김제시,2021,978645
515,김제시,2022,242608
516,김천시,2011,1628905
517,김천시,2012,1624295
518,김천시,2013,1620219
519,김천시,2014,1616604
520,김천시,2015,1652371
521,김천시,2016,1697912
522,김천시,2017,1715285
523,김천시,2018,1702579
524,김천시,2019,1695712
525,김천시,2020,1687030
526,김천시,2021,1684296
527,김천시,2022,420261
528,김포시,2011,2965443
529,김포시,2012,3274085
530,김포시,2013,3621233
531,김포시,2014,3928123
532,김포시,2015,4147991
533,김포시,2016,4274019
534,김포시,2017,4550281
535,김포시,2018,4900428
536,김포시,2019,5184633
537,김포시,2020,5446340
538,김포시,2021,5798675
539,김포시,2022,1458867
540,김해시,2011,6060204
541,김해시,2012,6126121
542,김해시,2013,6199003
543,김해시,2014,6307232
544,김해시,2015,6335765
545,김해시,2016,6346496
546,김해시,2017,6370212
547,김해시,2018,6391901
548,김해시,2019,6462131
549,김해시,2020,6511713
550,김해시,2021,6478488
551,김해시,2022,1611388
552,나주시,2011,1068513
553,나주시,2012,1057060
554,나주시,2013,1054917
555,나주시,2014,1068507
556,나주시,2015,1142651
557,나주시,2016,1212592
558,나주시,2017,1298660
559,나주시,2018,1347124
560,나주시,2019,1374647
561,나주시,2020,1376082
562,나주시,2021,1397759
563,나주시,2022,349847
564,남구,2011,20422188
565,남구,2012,20331421
566,남구,2013,20254814
567,남구,2014,20145877
568,남구,2015,20009550
569,남구,2016,19883982
570,남구,2017,19796745
571,남구,2018,17139904
572,남구,2019,14494568
573,남구,2020,14262391
574,남구,2021,14053879
575,남구,2022,3485655
576,남동구,2011,5857805
577,남동구,2012,6008161
578,남동구,2013,6064733
579,남동구,2014,6128666
580,남동구,2015,6292261
581,남동구,2016,6379544
582,남동구,2017,6402770
583,남동구,2018,6458132
584,남동구,2019,6416208
585,남동구,2020,6353713
586,남동구,2021,6251550
587,남동구,2022,1550929
588,남양주시,2011,6867356
589,남양주시,2012,7049039
590,남양주시,2013,7322428
591,남양주시,2014,7542482
592,남양주시,2015,7732951
593,남양주시,2016,7923291
594,남양주시,2017,7971387
595,남양주시,2018,8116084
596,남양주시,2019,8314431
597,남양주시,2020,8499576
598,남양주시,2021,8698832
599,남양주시,2022,2202041
600,남원시,2011,1051901
601,남원시,2012,1046081
602,남원시,2013,1040493
603,남원시,2014,1032372
604,남원시,2015,1022225
605,남원시,2016,1014887
606,남원시,2017,1004438
607,남원시,2018,994028
608,남원시,2019,983116
609,남원시,2020,972646
610,남원시,2021,959780
611,남원시,2022,237422
612,남해군,2011,594475
613,남해군,2012,585736
614,남해군,2013,571098
615,남해군,2014,563327
616,남해군,2015,554507
