,시도,매립지 수,총매립지 면적,총매립 용량,기매립량,잔여매립가능량,매립량(m³),매립량(톤),연간유지관리비,매립지 관리인원,연도,설치비
35,광주광역시,1,177790,4220000,1977225,2242775,187897,131528,3186,28,2012,104338
36,대전광역시,1,608256,8762000,7087807,1674193,246312,171674,4426,39,2012,154158
37,울산광역시,2,360276,7064656,4171667,2892989,125667,113000,2195,35,2012,35166
38,세종특별자치시,1,5569,21635,8931,12704,5327,3835,150,2,2012,3414
39,경기도,9,720198,8299574,3318519,4981055,145193,110926,4903,54,2012,195594
40,강원도,24,1202476,16374043,11314574,5059469,364470,366187,11893,160,2012,348861
41,충청북도,13,438719,5393650,3461827,1931823,132350,116054,4818,62,2012,143471
42,충청남도,16,628462,7428629,3682667,3745962,224639,143789,9141,63,2012,192688
43,전라북도,15,913552,8883534,6200828,2682706,303629,212270,4639,71,2012,206858
44,전라남도,58,1315626,16630388,9886173,6744215,394984,350391,13311,229,2012,242356
45,경상북도,38,1017104,14426974,6436227,7990747,388694,267316,12335,151,2012,322673
46,경상남도,28,2135840,23951093,11164874,12786219,377092,313349,11901,126,2012,332147
47,제주특별자치도,10,316484,2675544,2184780,490764,116881,112734,1317,32,2012,70388
48,부산광역시,1,747922,24494000,13749359,10744641,508543,277104,4220,48,2013,363802
49,대구광역시,1,853400,32378541,10600417,21778124,256476,435907,6821,54,2013,202449
50,인천광역시,5,19793391,245809381,122390535,123418846,3340322,3142583,306348,249,2013,378212
51,광주광역시,1,644159,9480000,1868000,7612000,122024,85416,870,27,2013,156200
52,대전광역시,1,707515,8762000,7369247,1392753,281440,261803,4492,39,2013,154158
53,울산광역시,2,360276,7064656,4275306,2789350,103639,93945,323,17,2013,1527
54,세종특별자치시,1,5569,21635,19238,2397,4980,3984,150,2,2013,3414
55,경기도,9,706198,8285336,3428117,4857219,109598,99512,7977,51,2013,177513
56,강원도,24,1202476,16416722,11164241,5252481,421495,385974,11343,154,2013,348861
57,충청북도,13,438719,5393650,3570996,1822654,150309,128654,4451,55,2013,143471
58,충청남도,16,628462,7429149,3899774,3529375,247626,158496,7516,61,2013,192688
59,전라북도,14,855068,8388934,6113916,2275018,311116,217570,4418,67,2013,207424
60,전라남도,58,1618335,16630388,9957032,6673356,327997,307126,41796,210,2013,273657
61,경상북도,38,1028558,14283396,6573126,7710270,336931,222445,10777,153,2013,323761
62,경상남도,27,2025486,23505914,11088790,12417124,469728,364824,11255,129,2013,328970
63,제주특별자치도,10,316484,2915824,2305049,610775,106453,128548,4108,33,2013,70388
64,부산광역시,1,747922,24494000,14052995,10441005,303636,316872,8474,52,2014,363802
65,대구광역시,1,853400,32378541,10904943,21473598,304526,466987,6366,55,2014,202449
66,인천광역시,5,16189575,230700094,125566131,105133963,3175596,3057690,300779,248,2014,378212
67,광주광역시,1,337860,9480000,2056242,7423758,172488,120742,3186,28,2014,156200
68,대전광역시,1,707515,8762000,7650683,1111317,281436,261803,4492,39,2014,154158
69,울산광역시,2,360276,7064656,4344601,2720055,69295,76224,1049,16,2014,107660
70,세종특별자치시,2,27818,296294,21635,274659,5546,4546,126,3,2014,8964
71,경기도,9,549698,8285336,3516004,4769332,132148,127901,4149,52,2014,177513
72,강원도,24,1188820,16580568,11470063,5110505,355559,349082,9979,150,2014,335113
73,충청북도,13,437719,5393650,3662593,1731057,145793,145471,5062,48,2014,144592
74,충청남도,16,682202,7428629,4117838,3310791,222247,132029,6390,64,2014,192675
75,전라북도,14,855068,8412934,6326755,2086179,231687,178953,3896,64,2014,207386
76,전라남도,60,1520622,17682650,10034278,7648372,459852,332697,21028,223,2014,328861
77,경상북도,40,1073587,15913908,6740495,9173413,388021,290964,13118,150,2014,341155
78,경상남도,27,2025486,23631908,11400789,12231119,444983,354483,9678,127,2014,328975
79,제주특별자치도,10,317209,2942009,2516124,425885,211075,141450,5869,33,2014,71936
80,부산광역시,1,747922,24494000,14362597,10131403,309602,322487,8474,52,2015,363802
81,대구광역시,1,853400,32378541,11553846,20824695,648903,494887,6803,54,2015,202449
82,인천광역시,5,15412864,289347381,128839335,160508046,3273304,3334845,250200,248,2015,378212
83,광주광역시,1,337860,9480000,2254507,7225493,198265,138786,2647,28,2015,156200
84,대전광역시,1,695788,8762000,5715602,3046398,255399,220154,5032,39,2015,154158
85,울산광역시,2,360276,7064656,4418472,2646184,73871,71602,914,16,2015,107660
86,세종특별자치시,2,27818,296592,27616,268976,5414,5414,92,5,2015,8964
87,경기도,9,549698,8285336,3652420,4632916,115921,101934,4353,39,2015,177513
88,강원도,24,1269640,18648556,11863917,6784639,380173,306250,14607,152,2015,386693
89,충청북도,13,437719,5393650,3815483,1578168,135956,149004,3357,134,2015,149092
90,충청남도,16,682277,7526133,4088816,3437317,151584,114557,78325,54,2015,206671
91,전라북도,14,855068,8388934,6450475,1938459,271969,210337,3944,71,2015,208667
92,전라남도,61,1463925,18817298,10596357,8220941,408427,295304,15709,238,2015,330337
93,경상북도,38,1069779,15930938,7180581,8750357,420379,320066,13014,141,2015,342981
94,경상남도,27,2025486,23631908,11824475,11807433,427047,351538,13284,128,2015,328975
95,제주특별자치도,10,321259,2966594,2674877,291717,158943,166609,11034,30,2015,71936
96,부산광역시,1,747922,24494000,14672214,9821786,309617,322502,7759,52,2016,363802
97,대구광역시,1,853400,32378541,11990635,20387906,436789,357522,6792,54,2016,202449
98,인천광역시,5,15418818,289347381,132285924,157061457,3446589,3213540,332940,250,2016,378212
99,광주광역시,1,337860,9480000,2487785,6992215,233278,163295,3186,28,2016,156200
100,대전광역시,1,695877,8762000,6387069,2374931,671467,341826,6031,40,2016,154158
101,울산광역시,2,360276,7064656,4596244,2468412,177772,136363,911,16,2016,107660
102,세종특별자치시,2,27818,296592,33191,263401,5575,5575,106,3,2016,8964
103,경기도,9,549698,8285336,3772772,4512564,111545,103408,4370,39,2016,172105
104,강원도,24,1269640,18648568,12375561,6273007,450574,354367,374472,188,2016,393515
105,충청북도,13,451960,5674709,3947312,1727397,128864,144793,3524,135,2016,189372
106,충청남도,15,596480,7331385,4008242,3323143,101556,96698,4049,57,2016,204780
107,전라북도,13,818063,8388934,6691130,1697804,263219,226222,3860,72,2016,208667
108,전라남도,62,1376203,18854288,10964697,7889591,444374,267715,15056,241,2016,336560
109,경상북도,35,1083071,16104007,7556732,8547275,399707,298125,16224,141,2016,355548
110,경상남도,27,2049254,23817908,12292146,11525762,467671,386763,12226,126,2016,354431
111,제주특별자치도,10,320648,3431942,2975230,456712,168435,170536,3664,37,2016,71936
