,cnterNm,rdnmadr,latitude,longitude,ar,carHoldCo,trtmntPrdlst,institutionNm
187,창원시진해재활용품상설교환판매장,경상남도 창원시 진해구 동진로 44(석동),35.1525172,128.700497,1461.86,1,가구+냉장고+TV 등,경상남도 창원시청
188,서초구재활용센터,서울특별시 서초구 양재대로12길 73-19,37.45933133,127.0401205,472.87,4,"냉장고, 세탁기, TV, 냉난방기, 가구, 소파 등",서울특별시 서초구청
189,군산시재활용선별시설,전라북도 군산시 새만금북로 630-28,35.94722384,126.6058336,3071,2,페트병 외 9개품목,전라북도 군산시청
190,동해시가전가구재활용센터,강원도 동해시 봉수로 160,37.57651247,129.1085604,545,3,냉장고+가구등,강원도 동해시청
191,북부재활용센터,경상남도 양산시 중앙로 109,35.340437,129.0373755,243.88,2,"가전제품, 폐가구",양산시청 자원순환과
192,덕계재활용센터,경상남도 양산시 웅상대로 1038,35.39145384,129.1586463,334.55,2,"폐가구, 냉장고",양산시청 자원순환과
193,유창알앤씨,대구광역시 서구 국채보상로20길 25,35.8663645,128.5417192,4658,1,재활용품,대구광역시 서구청
194,익산시 생활자원 회수센터,전라북도 익산시 선화로 798,35.96738245,127.0000091,2972,19,시홈페이지,전라북도 익산시청
195,포천시 환경자원센터,경기도 포천시 신북면 신평로16번길 207,37.967631,127.243634,18000,2,생활폐기물(재활용품),경기도 포천시청
196,철원군 재활용센터,강원도 철원군 철원읍 독서당길 305,38.22414087,127.1695236,1273.68,1,재활용품,철원군
197,연평면 소연평 재활용 선별장,인천광역시 옹진군 연평면 소연평로 161-94,37.61273536,125.7203857,150,0,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
198,덕적면 덕적 재활용 선별장,인천광역시 옹진군 덕적면 덕적남로 771번길 103,37.23042245,126.1065875,613,6,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
199,북도면 신도리 재활용 선별장,인천광역시 옹진군 북도면 시도로86번길 78,37.53555774,126.4311789,321,4,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
200,연평면 대연평 재활용 선별장,인천광역시 옹진군 연평면 연평로 746-46,37.65306184,125.6908597,309,3,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
201,자월면 자월 재활용 선별장,인천광역시 옹진군 자월면 자월서로 78,37.2500672,126.3151764,471,3,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
202,백령면 재활용 선별장,인천광역시 옹진군 백령면 백령남로72번길 356,37.95713929,124.6965634,645.5,6,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
203,북도면 장봉리 재활용 선별장,인천광역시 옹진군 북도면 장봉로 678,37.54345186,126.3327049,336,1,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
204,영흥면 재활용 선별장,인천광역시 옹진군 영흥면 영흥남로110번길 116,37.24982327,126.4667491,312,4,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
205,덕적면 문갑 재활용 선별장,인천광역시 옹진군 덕적면 문갑로 61,37.17249596,126.107333,96.05,0,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
206,덕적면 백아 재활용 선별장,인천광역시 옹진군 덕적면 백아리 149-6,37.076451,125.9442335,59.5,0,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
207,덕적면 울도 재활용 선별장,인천광역시 옹진군 덕적면 울도로 182번길 8-1,37.02579534,125.9966876,69,0,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
208,대청면 대청 재활용 선별장,인천광역시 옹진군 대청면 대청북로 53,37.83920892,124.7053035,415,2,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
209,자월면 대이작 재활용 선별장,인천광역시 옹진군 자월면 대이작로 159번길 127,37.17468452,126.264866,1351,0,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
210,자월면 승봉 재활용 선별장,인천광역시 옹진군 자월면 승봉로29번길 100-13,37.17284668,126.2963751,128.5,0,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
211,대청면 소청 재활용 선별장,인천광역시 옹진군 대청면 소청동로 159,37.77133063,124.7609434,115.9,0,종이류+고철류+캔류+병류+플라스틱류+필름류+스티로폼류,인천광역시 옹진군
212,자원새롬센터,경기도 연천군 청산면 초대로 106번길 125,37.99813896,127.0844951,328,10,"파지, 유리병, 금속캔, 합성수지, 필름시트,단일/복합재질포장재, 전지, 형광등, 전자제품 등",경기도 연천군청 혼경보호과
213,부전식당용 중고마트,부산광역시 수영구 연수로 272(망미동),35.1728305,129.1003937,66,1,주방용품,부산광역시 수영구
214,수영종합재활용센터,부산광역시 수영구 연수로 365(수영동),35.17085857,129.110318,132,1,중고가전,부산광역시 수영구
215,수영구재활용센터,부산광역시 수영구 수영로741번길 12(수영동),35.1684064,129.1207317,33,1,중고가전,부산광역시 수영구
216,"팔도중고가전,가구마트",부산광역시 수영구 수미로 62(수영동),35.17307547,129.117523,39,1,가전 가구,부산광역시 수영구
217,춘천시 도시형종합폐기물처리시설 재활용선별센터,강원도 춘천시 신동면 한치로 681-1,37.797263,127.679831,3245,3,종이류+플라스틱류+스티로폼류+캔류+고철류+기타,강원도 춘천시청
218,구로구 재활용센터,서울특별시 구로구 새말로48,37.503211,126.886038,792,1,가전제품+가구,서울특별시 구로구청
