행정구역별,year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
남구,2010,0.8,251.6,423876
남구,2010,0.8,251.6,216863
남구,2010,0.8,251.6,344131
남구,2010,0.8,401.7,298458
남구,2010,0.8,401.7,171197
남구,2010,0.8,401.7,423876
남구,2010,0.8,401.7,216863
남구,2010,0.8,401.7,344131
남구,2010,0.8,197.6,298458
남구,2010,0.8,197.6,171197
남구,2010,0.8,197.6,423876
남구,2010,0.8,197.6,216863
남구,2010,0.8,197.6,344131
남구,2010,0.8,364.8,298458
남구,2010,0.8,364.8,171197
남구,2010,0.8,364.8,423876
남구,2010,0.8,364.8,216863
남구,2010,0.8,364.8,344131
남구,2010,1.5,235.3,298458
남구,2010,1.5,235.3,171197
남구,2010,1.5,235.3,423876
남구,2010,1.5,235.3,216863
남구,2010,1.5,235.3,344131
남구,2010,1.5,251.6,298458
남구,2010,1.5,251.6,171197
남구,2010,1.5,251.6,423876
남구,2010,1.5,251.6,216863
남구,2010,1.5,251.6,344131
남구,2010,1.5,401.7,298458
남구,2010,1.5,401.7,171197
남구,2010,1.5,401.7,423876
남구,2010,1.5,401.7,216863
남구,2010,1.5,401.7,344131
남구,2010,1.5,197.6,298458
남구,2010,1.5,197.6,171197
남구,2010,1.5,197.6,423876
남구,2010,1.5,197.6,216863
남구,2010,1.5,197.6,344131
남구,2010,1.5,364.8,298458
남구,2010,1.5,364.8,171197
남구,2010,1.5,364.8,423876
남구,2010,1.5,364.8,216863
남구,2010,1.5,364.8,344131
남구,2010,0.9,235.3,298458
남구,2010,0.9,235.3,171197
남구,2010,0.9,235.3,423876
남구,2010,0.9,235.3,216863
남구,2010,0.9,235.3,344131
남구,2010,0.9,251.6,298458
남구,2010,0.9,251.6,171197
남구,2010,0.9,251.6,423876
남구,2010,0.9,251.6,216863
남구,2010,0.9,251.6,344131
남구,2010,0.9,401.7,298458
남구,2010,0.9,401.7,171197
남구,2010,0.9,401.7,423876
남구,2010,0.9,401.7,216863
남구,2010,0.9,401.7,344131
남구,2010,0.9,197.6,298458
남구,2010,0.9,197.6,171197
남구,2010,0.9,197.6,423876
남구,2010,0.9,197.6,216863
남구,2010,0.9,197.6,344131
남구,2010,0.9,364.8,298458
남구,2010,0.9,364.8,171197
남구,2010,0.9,364.8,423876
남구,2010,0.9,364.8,216863
남구,2010,0.9,364.8,344131
남구,2010,0.9,235.3,298458
남구,2010,0.9,235.3,171197
남구,2010,0.9,235.3,423876
남구,2010,0.9,235.3,216863
남구,2010,0.9,235.3,344131
남구,2010,0.9,251.6,298458
남구,2010,0.9,251.6,171197
남구,2010,0.9,251.6,423876
남구,2010,0.9,251.6,216863
남구,2010,0.9,251.6,344131
남구,2010,0.9,401.7,298458
남구,2010,0.9,401.7,171197
남구,2010,0.9,401.7,423876
남구,2010,0.9,401.7,216863
남구,2010,0.9,401.7,344131
남구,2010,0.9,197.6,298458
남구,2010,0.9,197.6,171197
남구,2010,0.9,197.6,423876
남구,2010,0.9,197.6,216863
남구,2010,0.9,197.6,344131
남구,2010,0.9,364.8,298458
남구,2010,0.9,364.8,171197
남구,2010,0.9,364.8,423876
남구,2010,0.9,364.8,216863
남구,2010,0.9,364.8,344131
남구,2010,1.1,235.3,298458
남구,2010,1.1,235.3,171197
남구,2010,1.1,235.3,423876
남구,2010,1.1,235.3,216863
남구,2010,1.1,235.3,344131
남구,2010,1.1,251.6,298458
남구,2010,1.1,251.6,171197
남구,2010,1.1,251.6,423876
남구,2010,1.1,251.6,216863
남구,2010,1.1,251.6,344131
남구,2010,1.1,401.7,298458
남구,2010,1.1,401.7,171197
남구,2010,1.1,401.7,423876
남구,2010,1.1,401.7,216863
남구,2010,1.1,401.7,344131
남구,2010,1.1,197.6,298458
남구,2010,1.1,197.6,171197
남구,2010,1.1,197.6,423876
남구,2010,1.1,197.6,216863
남구,2010,1.1,197.6,344131
남구,2010,1.1,364.8,298458
남구,2010,1.1,364.8,171197
남구,2010,1.1,364.8,423876
남구,2010,1.1,364.8,216863
남구,2010,1.1,364.8,344131
북구,2010,0.8,261.4,312218
북구,2010,0.8,261.4,452505
북구,2010,0.8,261.4,466866
북구,2010,0.8,261.4,177488
북구,2010,0.8,412.3,312218
북구,2010,0.8,412.3,452505
북구,2010,0.8,412.3,466866
북구,2010,0.8,412.3,177488
북구,2010,0.8,403.9,312218
북구,2010,0.8,403.9,452505
북구,2010,0.8,403.9,466866
북구,2010,0.8,403.9,177488
북구,2010,0.8,151.7,312218
북구,2010,0.8,151.7,452505
북구,2010,0.8,151.7,466866
북구,2010,0.8,151.7,177488
북구,2010,0.9,261.4,312218
북구,2010,0.9,261.4,452505
북구,2010,0.9,261.4,466866
북구,2010,0.9,261.4,177488
