행정구역별(1),행정구역별(2),year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
경상남도,함안군,2010,0.6,37,67207
경상남도,창녕군,2010,0.7,43.4,61714
경상남도,고성군,2010,0.6,32.9,57231
경상남도,남해군,2010,0.8,40.3,49328
경상남도,하동군,2010,0.9,45.9,51509
경상남도,산청군,2010,0.8,26.8,35591
경상남도,함양군,2010,0.7,27.3,41197
경상남도,거창군,2010,0.8,50.5,63421
경상남도,합천군,2010,0.7,35.3,51092
제주특별자치도,제주시,2010,1.1,471.4,417539
제주특별자치도,서귀포시,2010,1.1,167.4,153716
서울특별시,종로구,2011,2.4,411,168382
서울특별시,중구,2011,4.2,562.9,133193
서울특별시,용산구,2011,0.9,214.2,246501
서울특별시,성동구,2011,1,290.2,300711
서울특별시,광진구,2011,1,365.2,371936
서울특별시,동대문구,2011,1.2,444.5,365486
서울특별시,중랑구,2011,0.5,213.1,423706
서울특별시,성북구,2011,0.6,297.5,485171
서울특별시,강북구,2011,0.7,242.9,345054
서울특별시,도봉구,2011,1.1,404.3,365573
서울특별시,노원구,2011,0.5,303.7,603930
서울특별시,은평구,2011,0.5,270.3,493634
서울특별시,서대문구,2011,0.9,291.4,314852
서울특별시,마포구,2011,0.8,309.6,389493
서울특별시,양천구,2011,0.5,257.4,500210
서울특별시,강서구,2011,0.8,429.8,569072
서울특별시,구로구,2011,0.6,276.7,427468
서울특별시,금천구,2011,0.9,221.2,243438
서울특별시,영등포구,2011,0.9,366,397443
서울특별시,동작구,2011,0.8,327.7,401408
서울특별시,관악구,2011,0.6,321,526397
서울특별시,서초구,2011,1.4,588,433564
서울특별시,강남구,2011,1.8,1017.3,565710
서울특별시,송파구,2011,1.1,751.5,682209
서울특별시,강동구,2011,0.5,262.7,495138
부산광역시,중구,2011,1.7,80.9,48686
부산광역시,서구,2011,1,120.5,123718
부산광역시,동구,2011,1,98.1,100420
부산광역시,영도구,2011,0.9,123.2,143205
부산광역시,부산진구,2011,0.9,372.6,395044
부산광역시,동래구,2011,0.8,235.9,283742
부산광역시,남구,2011,0.8,229,295121
부산광역시,북구,2011,0.8,256.8,307988
부산광역시,해운대구,2011,0.9,370.8,425618
부산광역시,사하구,2011,0.9,321.5,355443
