시도,매립지 수,총매립지 면적,총매립 용량,기매립량,잔여매립가능량,매립량(m³),매립량(톤),설치비 (국비),설치비 (지방비),설치비 (기타),연간유지관리비,매립지 관리인원,연도
경상남도,27,2025486,23505914,11088790,12417124,469728,364824,71385,237235,20350,11255,129,2013
제주특별자치도,10,316484,2915824,2305049,610775,106453,128548,22041,48347,0,4108,33,2013
부산광역시,1,747922,24494000,14052995,10441005,303636,316872,88663,275139,0,8474,52,2014
대구광역시,1,853400,32378541,10904943,21473598,304526,466987,27458,174991,0,6366,55,2014
인천광역시,5,16189575,230700094,125566131,105133963,3175596,3057690,2400,375812,0,300779,248,2014
광주광역시,1,337860,9480000,2056242,7423758,172488,120742,46860,109340,0,3186,28,2014
대전광역시,1,707515,8762000,7650683,1111317,281436,261803,8043,146115,0,4492,39,2014
울산광역시,2,360276,7064656,4344601,2720055,69295,76224,19398,17197,71065,1049,16,2014
세종특별자치시,2,27818,296294,21635,274659,5546,4546,7000,1964,0,126,3,2014
경기도,9,549698,8285336,3516004,4769332,132148,127901,52837,60355,64321,4149,52,2014
강원도,24,1188820,16580568,11470063,5110505,355559,349082,96949,228543,9621,9979,150,2014
충청북도,13,437719,5393650,3662593,1731057,145793,145471,41343,103249,0,5062,48,2014
충청남도,16,682202,7428629,4117838,3310791,222247,132029,39267,153208,200,6390,64,2014
전라북도,14,855068,8412934,6326755,2086179,231687,178953,63624,114175,29587,3896,64,2014
전라남도,60,1520622,17682650,10034278,7648372,459852,332697,113013,179195,36653,21028,223,2014
경상북도,40,1073587,15913908,6740495,9173413,388021,290964,97223,241526,2406,13118,150,2014
경상남도,27,2025486,23631908,11400789,12231119,444983,354483,71385,243025,14565,9678,127,2014
제주특별자치도,10,317209,2942009,2516124,425885,211075,141450,22647,49289,0,5869,33,2014
부산광역시,1,747922,24494000,14362597,10131403,309602,322487,88663,275139,0,8474,52,2015
대구광역시,1,853400,32378541,11553846,20824695,648903,494887,27458,174991,0,6803,54,2015
인천광역시,5,15412864,289347381,128839335,160508046,3273304,3334845,2400,375812,0,250200,248,2015
광주광역시,1,337860,9480000,2254507,7225493,198265,138786,46860,109340,0,2647,28,2015
대전광역시,1,695788,8762000,5715602,3046398,255399,220154,8043,146115,0,5032,39,2015
울산광역시,2,360276,7064656,4418472,2646184,73871,71602,19398,17197,71065,914,16,2015
세종특별자치시,2,27818,296592,27616,268976,5414,5414,1500,1964,5500,92,5,2015
경기도,9,549698,8285336,3652420,4632916,115921,101934,52837,60355,64321,4353,39,2015
강원도,24,1269640,18648556,11863917,6784639,380173,306250,110113,236222,40358,14607,152,2015
충청북도,13,437719,5393650,3815483,1578168,135956,149004,41343,107749,0,3357,134,2015
충청남도,16,682277,7526133,4088816,3437317,151584,114557,47141,159330,200,78325,54,2015
전라북도,14,855068,8388934,6450475,1938459,271969,210337,70023,108418,30226,3944,71,2015
전라남도,61,1463925,18817298,10596357,8220941,408427,295304,117190,176494,36653,15709,238,2015
경상북도,38,1069779,15930938,7180581,8750357,420379,320066,97106,243469,2406,13014,141,2015
경상남도,27,2025486,23631908,11824475,11807433,427047,351538,71385,256090,1500,13284,128,2015
제주특별자치도,10,321259,2966594,2674877,291717,158943,166609,22647,49289,0,11034,30,2015
부산광역시,1,747922,24494000,14672214,9821786,309617,322502,88663,275139,0,7759,52,2016
대구광역시,1,853400,32378541,11990635,20387906,436789,357522,27458,174991,0,6792,54,2016
인천광역시,5,15418818,289347381,132285924,157061457,3446589,3213540,2400,375812,0,332940,250,2016
광주광역시,1,337860,9480000,2487785,6992215,233278,163295,46860,109340,0,3186,28,2016
대전광역시,1,695877,8762000,6387069,2374931,671467,341826,8043,146115,0,6031,40,2016
울산광역시,2,360276,7064656,4596244,2468412,177772,136363,19398,17197,71065,911,16,2016
세종특별자치시,2,27818,296592,33191,263401,5575,5575,1500,1964,5500,106,3,2016
경기도,9,549698,8285336,3772772,4512564,111545,103408,45716,88074,38315,4370,39,2016
강원도,24,1269640,18648568,12375561,6273007,450574,354367,117170,229537,46808,374472,188,2016
충청북도,13,451960,5674709,3947312,1727397,128864,144793,63034,108148,18190,3524,135,2016
충청남도,15,596480,7331385,4008242,3323143,101556,96698,46574,158206,0,4049,57,2016
전라북도,13,818063,8388934,6691130,1697804,263219,226222,70023,108418,30226,3860,72,2016
전라남도,62,1376203,18854288,10964697,7889591,444374,267715,119717,179740,37103,15056,241,2016
경상북도,35,1083071,16104007,7556732,8547275,399707,298125,101302,251840,2406,16224,141,2016
