행정구역별(1),행정구역별(2),year,일반폐기물재활용률,총재활용량,생활폐기물총발생량
전라남도,영암군,2010,32.7,13.0,39.7
전라남도,무안군,2010,44.7,21.6,48.3
전라남도,함평군,2010,30.9,5.5,17.8
전라남도,영광군,2010,32.9,16.1,48.9
전라남도,장성군,2010,24.5,5.8,23.7
전라남도,완도군,2010,36.2,19.5,53.8
전라남도,진도군,2010,51.2,19.7,38.5
전라남도,신안군,2010,31.1,13.0,41.8
경상북도,포항시,2010,58.1,340.4,586.3
경상북도,경주시,2010,54.3,148.3,272.9
경상북도,김천시,2010,79.3,165.4,208.7
경상북도,안동시,2010,54.4,113.6,208.9
경상북도,구미시,2010,46.6,119.0,255.2
경상북도,영주시,2010,44.3,75.4,170.2
경상북도,영천시,2010,34.3,30.3,88.4
경상북도,상주시,2010,52.5,49.4,94.1
경상북도,문경시,2010,37.2,45.8,123.1
경상북도,경산시,2010,55.7,112.9,202.6
경상북도,군위군,2010,42.4,9.7,22.9
경상북도,의성군,2010,31.2,11.9,38.2
경상북도,청송군,2010,37.7,9.8,26.0
경상북도,영양군,2010,24.5,3.5,14.3
경상북도,영덕군,2010,26.9,10.3,38.3
경상북도,청도군,2010,66.9,10.9,16.3
경상북도,고령군,2010,30.4,6.2,20.4
경상북도,성주군,2010,21.8,5.6,25.7
경상북도,칠곡군,2010,29.7,33.7,113.4
경상북도,예천군,2010,36.4,16.8,46.1
경상북도,봉화군,2010,51.9,20.0,38.5
경상북도,울진군,2010,53.1,28.4,53.5
경상북도,울릉군,2010,21.2,3.2,15.1
경상남도,진주시,2010,56.0,211.0,376.7
경상남도,통영시,2010,31.1,60.0,192.9
경상남도,사천시,2010,44.6,55.1,123.5
경상남도,김해시,2010,63.1,286.3,453.9
경상남도,밀양시,2010,50.9,47.1,92.5
경상남도,거제시,2010,53.7,154.2,286.9
경상남도,양산시,2010,50.7,92.8,183.1
경상남도,창원시,2010,52.8,632.8,1199.6
경상남도,의령군,2010,43.3,9.3,21.5
경상남도,함안군,2010,23.5,8.7,37.0
경상남도,창녕군,2010,62.7,27.2,43.4
경상남도,고성군,2010,41.6,13.7,32.9
경상남도,남해군,2010,65.0,26.2,40.3
경상남도,하동군,2010,57.5,26.4,45.9
경상남도,산청군,2010,34.0,9.1,26.8
경상남도,함양군,2010,23.4,6.4,27.3
경상남도,거창군,2010,29.1,14.7,50.5
경상남도,합천군,2010,45.9,16.2,35.3
제주특별자치도,제주시,2010,57.7,272.0,471.4
제주특별자치도,서귀포시,2010,39.1,65.5,167.4
서울특별시,종로구,2011,63.5,261.1,411.0
서울특별시,중구,2011,56.5,318.2,562.9
서울특별시,용산구,2011,49.1,105.1,214.2
서울특별시,성동구,2011,62.6,181.7,290.2
서울특별시,광진구,2011,74.1,270.5,365.2
서울특별시,동대문구,2011,70.0,311.2,444.5
서울특별시,중랑구,2011,51.9,110.5,213.1
서울특별시,성북구,2011,58.5,173.9,297.5
서울특별시,강북구,2011,64.9,157.6,242.9
서울특별시,도봉구,2011,81.2,328.2,404.3
서울특별시,노원구,2011,60.2,182.8,303.7
서울특별시,은평구,2011,50.4,136.2,270.3
서울특별시,서대문구,2011,66.4,193.6,291.4
서울특별시,마포구,2011,56.7,175.5,309.6
서울특별시,양천구,2011,71.5,184.1,257.4
서울특별시,강서구,2011,73.5,316.1,429.8
서울특별시,구로구,2011,50.2,139.0,276.7
서울특별시,금천구,2011,57.9,128.1,221.2
서울특별시,영등포구,2011,62.1,227.3,366.0
서울특별시,동작구,2011,62.2,203.7,327.7
서울특별시,관악구,2011,49.0,157.4,321.0
서울특별시,서초구,2011,67.7,398.0,588.0
서울특별시,강남구,2011,64.9,660.5,1017.3
서울특별시,송파구,2011,70.8,531.7,751.5
서울특별시,강동구,2011,53.7,141.2,262.7
부산광역시,중구,2011,43.6,35.3,80.9
부산광역시,서구,2011,66.4,80.0,120.5
부산광역시,동구,2011,67.5,66.2,98.1
부산광역시,영도구,2011,75.2,92.7,123.2
부산광역시,부산진구,2011,67.3,250.8,372.6
부산광역시,동래구,2011,70.7,166.8,235.9
부산광역시,남구,2011,71.8,164.5,229.0
부산광역시,북구,2011,74.6,191.5,256.8
부산광역시,해운대구,2011,71.5,265.1,370.8
부산광역시,사하구,2011,63.2,203.2,321.5
부산광역시,금정구,2011,72.7,159.3,219.1
부산광역시,강서구,2011,50.1,40.7,81.2
부산광역시,연제구,2011,72.3,128.2,177.2
부산광역시,수영구,2011,73.8,105.7,143.3
부산광역시,사상구,2011,69.2,189.1,273.2
부산광역시,기장군,2011,60.4,52.2,86.4
대구광역시,중구,2011,51.1,93.3,182.7
대구광역시,동구,2011,53.2,181.2,340.7
대구광역시,서구,2011,58.6,144.6,246.6
대구광역시,남구,2011,52.9,112.2,212.1
대구광역시,북구,2011,52.6,226.1,430.0
대구광역시,수성구,2011,59.2,239.8,404.9
대구광역시,달서구,2011,51.0,297.3,582.6
대구광역시,달성군,2011,65.8,148.3,225.4
인천광역시,중구,2011,59.6,123.8,207.7
인천광역시,동구,2011,80.3,94.2,117.3
인천광역시,남구,2011,63.7,196.6,308.7
인천광역시,연수구,2011,63.8,94.3,147.7
인천광역시,남동구,2011,54.6,153.6,281.5
인천광역시,부평구,2011,67.8,327.7,483.5
인천광역시,계양구,2011,67.0,157.2,234.7
인천광역시,서구,2011,55.6,123.5,222.3
인천광역시,미추홀구,2011,-,-,-
인천광역시,강화군,2011,65.5,40.3,61.5
인천광역시,옹진군,2011,63.3,15.0,23.7
광주광역시,동구,2011,68.8,111.7,162.4
광주광역시,서구,2011,66.7,217.7,326.2
광주광역시,남구,2011,62.3,127.3,204.4
광주광역시,북구,2011,62.0,218.5,352.7
광주광역시,광산구,2011,68.9,198.6,288.2
대전광역시,동구,2011,58.9,173.6,294.6
대전광역시,중구,2011,68.5,182.4,266.4
대전광역시,서구,2011,66.3,294.1,443.8
대전광역시,유성구,2011,64.7,175.8,271.7
대전광역시,대덕구,2011,62.5,151.8,242.7
울산광역시,중구,2011,65.9,146.6,222.5
울산광역시,남구,2011,59.4,228.3,384.5
울산광역시,동구,2011,63.6,120.1,188.7
울산광역시,북구,2011,63.4,110.9,174.8
울산광역시,울주군,2011,59.1,130.6,220.8
경기도,수원시,2011,59.2,607.8,1027.2
경기도,성남시,2011,51.6,398.7,772.0
경기도,의정부시,2011,42.8,247.8,579.0
경기도,안양시,2011,58.6,267.9,457.2
경기도,부천시,2011,68.1,502.8,738.7
경기도,광명시,2011,49.3,136.2,276.1
경기도,평택시,2011,66.4,262.7,395.5
경기도,동두천시,2011,38.1,40.1,105.2
경기도,안산시,2011,50.7,225.5,445.0
경기도,고양시,2011,62.3,546.2,877.2
경기도,과천시,2011,36.2,28.3,78.2
경기도,구리시,2011,44.4,86.8,195.6
경기도,남양주시,2011,70.0,305.4,436.5
