,시도,시설 수,일별 시설용량(톤),1일평균가동시간,처리량 (톤),설치비 (국비),설치비 (지방비),설치비 (기타),연간유지관리비,관리인원,외부공급(열),외부공급(전력),자체사용(열),자체사용(전력),연도
95,광주광역시,1,320,24,86937,0,74300,0,6250,46,20095,0,36450,104017,2015
96,대전광역시,1,320,24,96790,21555,49058,0,9462,42,161764,0,58371,0,2015
97,울산광역시,2,650,21,187149,44822,43262,46359,9818,66,179411,0,108473,36801,2015
98,세종특별자치시,1,45,24,12358,6260,25090,0,2400,20,1655,0,293,17535,2015
99,경기도,26,5164,24,1299861,193974,694694,580561,139006,1057,1492203,45980,988716,293320,2015
100,강원도,15,570,22,162556,54982,79880,38150,21584,237,19371,42110,59661,87728,2015
101,충청북도,10,709,20,182299,80480,153142,3058,16138,196,101494,5428,157900,294887,2015
102,충청남도,11,885,24,244524,56458,102502,76852,26221,227,263250,0,158947,0,2015
103,전라북도,2,600,24,146731,19662,652,46076,11424,93,82959,33371,113860,56396,2015
104,전라남도,56,501,11,119037,59886,91990,17014,22274,347,51216,0,47490,9467,2015
105,경상북도,20,837,20,229955,94310,100772,98255,24407,329,19636,70816,33735,56663,2015
106,경상남도,17,1594,24,425024,69583,206308,66635,45674,468,236903,113422,283615,212095,2015
107,제주특별자치도,7,278,10,69765,27309,42848,0,11659,103,233,0,38084,91543,2015
109,서울특별시,5,2898,24,749648,0,373721,27689,59064,316,1254401,17246,313095,21820,2016
110,부산광역시,2,510,24,151202,20542,59729,9269,15898,69,207900,0,119407,9313,2016
111,대구광역시,1,480,24,114857,8201,55897,7920,8987,51,137847,3411,25381,97402,2016
112,인천광역시,9,877,11,265832,76805,144297,670,17072,90,284888,67766,254997,0,2016
113,광주광역시,1,320,24,71003,0,74300,0,4821,40,22799,0,24814,82223,2016
114,대전광역시,1,320,24,98146,21555,49058,0,8815,41,177878,0,59354,0,2016
115,울산광역시,2,650,21,184790,44822,43262,46359,8918,66,191874,0,106110,33017,2016
116,세종특별자치시,1,45,24,12124,6260,25090,0,2754,20,1822,0,307,19159,2016
117,경기도,27,5304,24,1349194,193714,759593,546559,155894,1078,1580360,33337,1025554,203659,2016
118,강원도,15,578,23,160249,54982,78273,40834,20922,234,0,35119,39359,97024,2016
119,충청북도,10,709,20,216085,80480,153142,3058,20242,195,152046,6045,233855,25076,2016
120,충청남도,11,1081,24,325939,58828,113313,75918,27002,231,296867,0,240780,0,2016
121,전라북도,2,600,24,142662,19662,652,46076,12544,96,237302,23429,213475,50324,2016
