region,yr,life_waste,life_waste_per_pop,pop,total_recycle,total_waste,recycle_ratio,income_indivisual,corp_activated,corp_recycled_waste,corp_sales_amount,corp_total_sales,total_amount_daily,total_recycled_daily,total_cremation
제주특별자치도,2011,764.7,2.7,571468,410,764.7,53.615797044592654,13888,214,121477,60383,16260085,9999.1,7596.5,198.1
강원도,2012,2175.3,26.099999999999998,1535335,1135.1000000000004,2175.3,52.18130832528848,13712,678,5004447,329423,66313575,10678.6,9209.400000000003,414.6
경기도,2012,10428.2,28.7,11948596,6389.5,10428.2,61.27136034982067,15647,3457,7556865,4036393,1210427938,68554.50000000004,54807.5,3377.9
경상남도,2012,3453.6,16.6,3309559,1767.9,3453.6,51.190062543432944,14931,1949,3852221,1675630,387231586,335592.2,187102.4,984.9
경상북도,2012,2623.2,21.699999999999996,2697104,1192.7999999999997,2623.2,45.4711802378774,14283,2144,8855708,6004739,903546774,572911.9000000003,409522.10000000003,549.6
전라북도,2012,1796.4,11.700000000000001,1873491,1013.9000000000001,1796.4,56.440659095969714,13915,1010,2290345,680574,101829969,625064.3999999999,294181.5000000003,336.6
충청남도,2012,2411.5,15.4,2103129,1430.5,2411.5,59.319925357661205,13948,1177,5102424,1996721,491628946,46426.89999999999,40426.10000000001,530.8000000000001
충청북도,2012,1773.5000000000002,13.200000000000001,1563023,1049.6000000000001,1773.5000000000002,59.18240766845221,14111,1307,5318218,1346657,516249465,6182.1,4638.499999999999,458.90000000000003
광주광역시,2012,1328.8,5.1,1465313,826.8,1328.8,62.22155328115593,14662,219,637795,590613,176724531,7230.500000000001,6434.400000000001,263.5
대구광역시,2012,2683.8,10.200000000000001,2508370,1408.4,2683.8,52.47782994261867,14554,348,927359,815776,201271084,10628.3,8138.000000000002,360.7
대전광역시,2012,1468.8999999999999,4.9,1517299,978,1468.8999999999999,66.58043433862075,15537,113,239778,207113,9926491,35898.2,16210.999999999998,260.5
부산광역시,2012,3189,15.400000000000002,3549501,2195.1000000000004,3189,68.8334901222954,15098,408,1466444,1173301,279552582,16520.000000000004,13819.4,678.1
서울특별시,2012,9189.300000000003,25.499999999999996,10250134,6004.5,9189.300000000003,65.34230028402597,18795,38,106427,93498,12607284,8255.999999999998,3128.3999999999996,2465.4
울산광역시,2012,1280.3999999999999,5.699999999999999,1136464,764.1000000000001,1280.3999999999999,59.67666354264294,18941,624,1775551,1018663,346015719,15108,11315,295.7
인천광역시,2012,1933.1999999999998,9.1,2804287,1168.4,1933.1999999999998,60.43865094144425,14181,707,2985535,2025351,356429255,316200.9,30380,658.3000000000001
제주특별자치도,2012,861.9000000000001,3.3,576507,478.1,861.9000000000001,55.47047221255366,14383,210,172177,102677,21125846,11375.300000000001,8460.5,203.89999999999998
강원도,2013,2100.6,25.400000000000002,1537704,1057.1,2100.6,50.3237170332286,14394,392,2890110,938770,57743541,16697.8,15188.200000000003,437.7
경기도,2013,9919.200000000003,26.800000000000004,12107216,5780.500000000001,9919.200000000003,58.27586902169529,16399,1665,6336744,4167510,1036487058,70359.70000000001,56454.20000000001,3354.2000000000003
경상남도,2013,3176.2000000000007,17.8,3318979,1644.6,3176.2000000000007,51.778855235816366,15646,1074,3590937,2012408,580076192,526932.2000000002,224725.2999999999,879.6
경상북도,2013,2804.4,22.899999999999995,2698263,1401.3000000000002,2804.4,49.96790757381259,15052,1154,6052861,5836874,758680351,603420.2999999999,430078.19999999984,718.4000000000001
전라북도,2013,1656.2999999999997,10.9,1872500,948.8,1656.2999999999997,57.28430839823704,14628,569,1964967,1096199,134402814,789371.6,410504,294.1
충청남도,2013,2582.6000000000004,15.799999999999999,2029769,1553.9999999999998,2582.6000000000004,60.17191977077362,14892,603,4792498,2719472,545704136,4462150.399999999,3797159.6,546.5
충청북도,2013,1764.1000000000001,12.799999999999999,1565670,1035.5000000000002,1764.1000000000001,58.69848648035827,14707,605,1567159,1073456,276333521,9259.700000000003,7679.899999999997,465.70000000000005
광주광역시,2013,1327,4.8999999999999995,1470061,825.5999999999999,1327,62.21552373775433,15454,172,924430,926154,158846178,5708.6,4877.700000000001,271.5
대구광역시,2013,2789.7,10.2,2504945,1400.5,2789.7,50.20253073807219,15320,246,1067815,899061,208779466,10628.3,8138.000000000002,352.2
대전광역시,2013,1473.4,4.8999999999999995,1525888,937.1999999999998,1473.4,63.607981539296844,16253,81,286215,184921,17716310,36719,16396,279.2
부산광역시,2013,3173.7999999999997,15.3,3538191,2170.2,3173.7999999999997,68.37859978574579,15651,184,1025459,678913,81322053,16751.5,14367.100000000002,770.9
서울특별시,2013,8559,24.400000000000002,10195064,5481.399999999999,8559,64.04252833274914,19525,11,54288,49481,7228574,34728.30000000001,29189.900000000005,2303.5
울산광역시,2013,1234.1999999999998,5.2,1148130,765.0999999999999,1234.1999999999998,61.9915734888997,19782,361,1939610,1360914,380640294,12867.800000000001,9110.7,398.4
인천광역시,2013,2311.2,7.700000000000001,2846899,1538.8,2311.2,66.58013153340256,14829,385,2319886,1729540,343243442,322657.3000000001,186364.49999999997,671.5
제주특별자치도,2013,984.2,3.8,584045,516.2,984.2,52.44868929079456,14829,139,326699,115312,27304326,10732.4,7635.299999999999,194.6
강원도,2014,2104.1,25.099999999999998,1540745,1082.8,2104.1,51.46143244142388,15152,383,3414834,402296,79691624,15925.399999999998,14523.700000000003,454.7
경기도,2014,10452.1,28.200000000000003,12245960,6012.799999999999,10452.1,57.52719549181503,16969,1840,5922778,4474460,1169830706,75972.89999999998,61914.2,3476.7
경상남도,2014,3452.5000000000005,18.200000000000003,3334948,1826.4,3452.5000000000005,52.90079652425778,16272,1241,3475966,2294301,535860132,382409.1000000002,234800.79999999987,1031.2
경상북도,2014,2795.3000000000015,22.900000000000002,2698306,1375.0000000000005,2795.3000000000015,49.189711301112574,15738,1405,5581606,8036625,1169152482,680071.7999999996,442023.7000000001,719.0999999999999
전라북도,2014,1704.9999999999998,11.3,1872297,971.8000000000001,1704.9999999999998,56.99706744868036,15548,724,2266650,2384719,162645941,1005723.3,521740.69999999995,331.4
충청남도,2014,2482.7999999999997,16.299999999999997,2048438,1414.1,2482.7999999999997,56.955856291284036,15509,658,4464955,4457902,661960737,44523.599999999984,36234.11000000001,736.3000000000001
충청북도,2014,1943.0000000000002,11.6,1572779,1181.7,1943.0000000000002,60.81832218219249,15558,566,4296628,756213,283957703,14014.999999999996,11519.299999999996,519
광주광역시,2014,1316.4,5,1473529,841.5999999999999,1316.4,63.93193558188999,16225,175,356502,304249,105124963,5412.9000000000015,4663.099999999999,270.6
대구광역시,2014,2899.4,10.1,2501823,1444.1,2899.4,49.80685659101883,16031,272,918941,764231,281947355,11600.9,9069.300000000001,357.5
대전광역시,2014,1451.2,4.8,1533497,925.8,1451.2,63.79547960308709,16946,104,194172,186257,31194370,57140.8,30581.700000000004,297.6
부산광역시,2014,3397.8000000000006,16.7,3526648,2718.6000000000004,3397.8000000000006,80.0105950909412,16147,197,666132,541154,136687471,17229.5,15356.599999999997,429.3
서울특별시,2014,9613.800000000001,27.099999999999998,10143164,6423.899999999999,9613.800000000001,66.81957186544341,19832,17,36238,11864,1804611,37639.2,31611.20000000001,2263.3
울산광역시,2014,1449.3,6.2,1157199,785.1999999999999,1449.3,54.1778789760574,20142,389,1776764,2330988,648351341,13130.900000000001,9558.699999999999,561.6999999999999
인천광역시,2014,1688.1,6,2882047,932.3,1688.1,55.22777086665482,15507,390,2567406,2385510,368739083,323384.80000000005,181095.2,605
