"행정구역별",2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
"행정구역별",주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명),주민1인당 생활폐기물배출량<br>(A÷B) (kg/일),생활폐기물발생량<br>(A) (톤/일),주민등록인구<br>(B) (명)
"북구",0.8,261.4,312218,0.8,256.8,307988,0.8,258.5,312937,0.8,261.9,309719,0.9,280.8,306974,0.9,280.7,310484,0.9,277.7,310202,0.9,270.3,302924,0.9,268.3,296952,0.9,263.9,291132
"해운대구",0.9,371.4,426729,0.9,370.8,425618,0.9,383.2,428188,0.9,375.2,425536,0.9,394.9,423531,0.9,393.5,422818,1.0,400.6,419853,0.9,388.7,412039,0.9,383.8,409347,0.9,385.6,406102
"사하구",0.9,324.7,358730,0.9,321.5,355443,0.9,323.7,352726,0.9,323.3,349110,1.0,330.4,343371,1.0,329.1,337781,0.9,312.8,334603,1.1,350.6,333301,1.0,341.1,327791,1.1,337.7,321004
"금정구",0.9,220.0,255419,0.9,219.1,254720,0.9,219.9,255692,0.9,217.4,253526,0.9,228.3,249856,0.9,228.1,246026,0.9,229.0,244624,1.0,232.5,244469,1.0,234.6,242956,1.0,233.0,239062
"강서구",1.2,76.9,62594,1.3,81.2,64733,1.2,79.7,65806,1.2,83.5,69873,1.2,95.0,79619,1.1,100.7,94608,1.0,113.6,108909,1.2,140.5,117382,1.2,143.2,122957,1.2,153.1,129566
"연제구",0.8,178.9,212696,0.8,177.2,213326,0.8,174.8,211536,0.8,175.2,209290,0.9,186.3,208012,0.9,186.9,210718,0.9,185.5,207268,0.9,185.2,206742,0.9,186.7,207840,0.9,187.8,209395
"수영구",0.8,148.0,178267,0.8,143.3,176691,0.8,144.6,176666,0.9,149.0,175098,1.0,172.3,178480,0.9,157.0,179795,0.9,157.9,179324,0.8,152.3,179996,0.9,151.1,176246,0.8,145.3,176148
"사상구",1.1,279.2,257843,1.1,273.2,254413,1.1,267.2,250424,1.1,265.7,246797,1.1,275.1,242953,1.2,273.8,237711,1.1,264.9,232800,1.1,250.4,229219,1.1,252.2,223361,1.2,254.2,218094
"기장군",0.8,81.8,102557,0.8,86.4,108095,0.8,92.5,114566,0.7,99.2,132507,1.0,137.9,144748,0.8,124.9,153093,0.8,131.9,158527,0.8,131.0,161651,0.8,130.3,164864,0.8,129.8,164716
"대구광역시",1.0,2584.8,2511676,1.0,2625.0,2507271,1.1,2683.8,2505644,1.1,2789.7,2501588,1.2,2899.4,2493264,1.2,2966.5,2487829,1.2,2956.9,2484557,1.2,2895.4,2475231,1.2,3014.8,2461769,1.2,2938.1,2438031
