"행정구역별","폐기물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"서구","사업장배출시설계폐기물","재활용[톤/일]","톤/일","173","433.8","433.8","771.9","771.9","702.2","699.7","549.8","473.8","571.6",
"서구","건설폐기물","발생량[톤/일]","톤/일","417","624.9","488","319.2","319.2","330.5","331.1","335.1","368.9","274.4",
"서구","건설폐기물","재활용[톤/일]","톤/일","416","623.4","485.4","316.9","316.9","329.7","330.4","333.3","368","274.4",
"서구","지정폐기물","발생량[톤/일]","톤/일","52","1143","15375.7","80.6","80.6","95.5","90.7","25687.5","47.5","41.2",
"서구","지정폐기물","재활용[톤/일]","톤/일","30","-","-","60.4","60.4","67.6","63.5","14577.9","33.9","24.9",
"서구","전년도이월량","발생량[톤/일]","톤/일","8","3.6","45",".3",".3",".5",".1","620.1",".2",".1",
"서구","당해년도발생량","발생량[톤/일]","톤/일","44","1139.4","15330.7","80.3","80.3","95.1","90.6","25067.4","47.3","41.2",
"남구","합계","재활용률[%]","%","73.4","33.5","23.8","80.2","80.2","74.8","73.6","60.7","92.6","92.6",
"남구","합계","발생량[톤/일]","톤/일","511","1126.5","1885.8","575.3","575.3","477.1","470.8","946.7","750","735.1",
"남구","합계","재활용[톤/일]","톤/일","375","377.2","449.7","461.4","461.4","356.8","346.3","574.5","694.7","680.4",
"남구","생활계폐기물","발생량[톤/일]","톤/일","213","251.6","212.1","217.1","217.1","222.6","188","203.7","193.8","189.8",
"남구","생활계폐기물","재활용[톤/일]","톤/일","78","114.3","112.2","105.4","105.4","105.1","83.7","122.4","141.2","142.6",
"남구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","-","0","-","-","-","0","0","0","0","0",
"남구","사업장배출시설계폐기물","재활용[톤/일]","톤/일","-","0","-","-","-","0","0","0","0","0",
"남구","건설폐기물","발생량[톤/일]","톤/일","297","263.2","338.5","357.7","357.7","253.8","282.1","446","555.2","538.7",
"남구","건설폐기물","재활용[톤/일]","톤/일","297","262.9","337.5","356","356","251.6","262.5","442.4","553.5","537.8",
"남구","지정폐기물","발생량[톤/일]","톤/일","1","611.7","1335.2",".5",".5",".7",".7","297","1","6.6",
"남구","지정폐기물","재활용[톤/일]","톤/일","-","-","-","-","-",".1",".1","9.7","0","0",
"남구","전년도이월량","발생량[톤/일]","톤/일","-",".9","7.6","-","-","0","0","1.2","0","0",
"남구","당해년도발생량","발생량[톤/일]","톤/일","1","610.8","1327.6",".5",".5",".7",".7","295.8","1","6.6",
"북구","합계","재활용률[%]","%","64.3","57.8","3.5","78.1","78.1","82","82.5","88.5","88.4","90.4",
"북구","합계","발생량[톤/일]","톤/일","1428","2277.2","37634.3","1605.1","1605.1","2017.1","1940","29656.7","1881.8","1965.1",
"북구","합계","재활용[톤/일]","톤/일","918","1315.9","1324.6","1254.2","1254.2","1654.1","1601.1","26238.5","1663.7","1776.4",
"북구","생활계폐기물","발생량[톤/일]","톤/일","433","412.3","430","436.3","436.3","457","504.9","528.3","492.8","536.3",
"북구","생활계폐기물","재활용[톤/일]","톤/일","118","227","226.1","218.4","218.4","218.8","254","346","404.3","427.2",
"북구","사업장배출시설계폐기물","발생량[톤/일]","톤/일","254","263.5","267.4","256.5","256.5","249.8","247.9","240.7","260.9","233.3",
"북구","사업장배출시설계폐기물","재활용[톤/일]","톤/일","77","75.4","136.4","170.5","170.5","157.6","182.6","101.3","149.6","174.9",
"북구","건설폐기물","발생량[톤/일]","톤/일","690","1059.5","973.3","786.5","786.5","1181.5","1085","958","1028","1092.1",
"북구","건설폐기물","재활용[톤/일]","톤/일","678","1011.9","960.4","748.7","748.7","1156.7","1069.8","924.5","1019.3","1085.2",
"북구","지정폐기물","발생량[톤/일]","톤/일","51","541.9","35963.6","125.8","125.8","128.8","102.2","27929.7","100.1","103.4",
"북구","지정폐기물","재활용[톤/일]","톤/일","45","1.6","1.7","116.6","116.6","121","94.7","24866.7","90.5","89.1",
"북구","전년도이월량","발생량[톤/일]","톤/일","-","-","14.4","-","-",".1","0","22.8","0","0",
"북구","당해년도발생량","발생량[톤/일]","톤/일","51","541.9","35949.2","125.8","125.8","128.7","102.2","27906.9","100.1","103.3",
"수성구","합계","재활용률[%]","%","76.1","65.4","46.2","86.7","83.8","83.4","84.1","83.2","94.4","94.2",
"수성구","합계","발생량[톤/일]","톤/일","1226","1716.6","2207","1160.8","1160.8","1286.8","1250.1","8380.6","1592.9","1783.5",
